time_s,x_m,y_m,dist_to_goal_m
19.415,-0.0289,0.0695,3.4069
19.436,-0.0289,0.0695,3.4069
19.473,-0.0288,0.0694,3.4069
19.502,-0.0288,0.0694,3.4069
19.524,-0.0288,0.0694,3.4069
19.571,-0.0288,0.0694,3.4069
19.602,-0.0288,0.0694,3.4069
19.618,-0.0288,0.0694,3.4069
19.641,-0.0288,0.0694,3.4069
19.671,-0.0288,0.0693,3.4069
19.725,-0.0288,0.0694,3.4069
19.767,-0.0288,0.0693,3.4069
19.812,-0.0288,0.0693,3.4069
19.834,-0.0288,0.0693,3.4069
19.863,-0.0287,0.0693,3.4069
19.885,-0.0288,0.0693,3.4069
19.922,-0.0288,0.0693,3.4069
19.96,-0.0288,0.0692,3.4069
20.001,-0.0288,0.0692,3.4069
20.031,-0.0288,0.0692,3.4069
20.062,-0.0288,0.0692,3.4069
20.089,-0.0287,0.0692,3.4069
20.122,-0.0287,0.0692,3.4069
20.139,-0.0287,0.0692,3.4069
20.168,-0.0287,0.0691,3.4069
20.195,-0.0287,0.0691,3.4069
20.226,-0.0287,0.0692,3.4069
20.295,-0.0287,0.0692,3.4069
20.322,-0.0287,0.0692,3.4069
20.347,-0.0287,0.0692,3.4069
20.373,-0.0287,0.0691,3.4069
20.415,-0.0287,0.0691,3.4069
20.451,-0.0287,0.0691,3.4069
20.476,-0.0287,0.0691,3.4069
20.494,-0.0287,0.0691,3.4069
20.523,-0.0286,0.0691,3.4068
20.556,-0.0287,0.0691,3.4069
20.574,-0.0286,0.0691,3.4069
20.609,-0.0286,0.0691,3.4068
20.635,-0.0286,0.0691,3.4069
20.694,-0.0286,0.069,3.4069
20.734,-0.0286,0.0691,3.4069
20.758,-0.0287,0.0691,3.4069
20.801,-0.0286,0.0691,3.4069
20.81,-0.0286,0.069,3.4069
20.834,-0.0286,0.0691,3.4069
20.874,-0.0287,0.069,3.4069
20.907,-0.0286,0.069,3.4069
20.934,-0.0287,0.0691,3.4069
20.978,-0.0287,0.069,3.4069
20.999,-0.0286,0.069,3.4069
21.032,-0.0286,0.069,3.4069
21.064,-0.0286,0.069,3.4069
21.097,-0.0286,0.0689,3.4069
21.115,-0.0286,0.069,3.4069
21.164,-0.0287,0.069,3.407
21.187,-0.0287,0.069,3.4069
21.214,-0.0287,0.069,3.407
21.255,-0.0286,0.069,3.4069
21.267,-0.0287,0.069,3.407
21.328,-0.0286,0.069,3.4069
21.358,-0.0287,0.0689,3.407
21.369,-0.0287,0.0689,3.407
21.403,-0.0287,0.0689,3.407
21.428,-0.0287,0.0689,3.407
21.456,-0.0287,0.0689,3.407
21.489,-0.0287,0.0689,3.407
21.515,-0.0287,0.0689,3.407
21.538,-0.0287,0.0688,3.407
21.571,-0.0287,0.0688,3.4071
21.587,-0.0287,0.0688,3.4071
21.646,-0.0287,0.0689,3.407
21.677,-0.0287,0.0688,3.407
21.716,-0.0287,0.0688,3.4071
21.752,-0.0287,0.0688,3.4071
21.778,-0.0288,0.0688,3.4072
21.825,-0.0288,0.0688,3.4072
21.828,-0.0288,0.0687,3.4072
21.859,-0.0288,0.0688,3.4071
21.882,-0.0288,0.0688,3.4072
21.915,-0.0287,0.0688,3.4071
21.965,-0.0287,0.0688,3.4071
22.003,-0.0287,0.0687,3.4071
22.021,-0.0287,0.0688,3.4071
22.059,-0.0287,0.0687,3.4071
22.095,-0.0287,0.0687,3.4071
22.139,-0.0288,0.0688,3.4071
22.166,-0.0288,0.0688,3.4071
22.179,-0.0287,0.0687,3.4071
22.196,-0.0287,0.0686,3.4072
22.228,-0.0287,0.0687,3.4071
22.25,-0.0287,0.0686,3.4071
22.299,-0.0287,0.0686,3.4071
22.318,-0.0287,0.0687,3.4071
22.356,-0.029,0.0679,3.4077
22.402,-0.0287,0.0687,3.4071
22.447,-0.0287,0.0681,3.4074
22.489,-0.0284,0.0668,3.4077
22.516,-0.0284,0.0669,3.4077
22.545,-0.0275,0.0673,3.4067
22.559,-0.0266,0.0684,3.4054
22.591,-0.0274,0.0674,3.4066
22.619,-0.0255,0.0698,3.4038
22.651,-0.026,0.0692,3.4045
