run,index,kind,category,command_id,target,progress,status,start_unix,end_unix,elapsed_s,observed_nonzero_command_s,observed_zero_command_s,unclassified_macro_s,mean_progress_per_macro_s,first_zero_command_elapsed_s,correction_restarts,command_near_0p5_s,translation_nonzero_ticks,translation_with_yaw_correction_ticks,measured_moving_twist_median_mps,measured_turn_rate_median_radps,matched_moving_twist_samples,command_receipt_to_start_s,terminal_to_result_receipt_s
original5/full-goal-3-008,3,translate,look_forward_20cm,pixnav-bd54bfad76c86965573174f6-step-0,0.20000000298023224,0.21979462225282426,OK,1789303704.3185115,1789303705.4872262,1.1687147119992005,0.9022148990006826,0.24165119399913237,0.024848618999385508,0.1880652480850901,0.9270635180000681,0,0.0590897740003129,18,13,0.20307519683539685,,18,0.007999420166015625,0.08811163902282715
original5/full-goal-3-008,4,translate,look_forward_20cm,pixnav-c53821c908d4854cb3e070a3-step-1,0.20000000298023224,0.2204858580908427,OK,1789303705.9016502,1789303707.093088,1.1914377299999614,0.9014080310007557,0.2573108399992634,0.03271885899994231,0.18505865018295992,0.934126890000698,0,0.0534582730015245,18,18,0.28946176703995663,,18,-0.00010776519775390625,0.04651808738708496
original5/full-goal-3-008,5,translate,look_forward_20cm,pixnav-dc57c2066b2abd503a75c4e5-step-2,0.20000000298023224,0.21605251033324813,OK,1789303707.4225903,1789303708.7513816,1.3287913059994025,0.9455067079998116,0.36783801800083893,0.015446579998751986,0.16259326002344063,0.9609532879985636,0,0.05018308199942112,19,19,0.23860121289542127,,19,0.00038433074951171875,0.04981637001037598
original5/full-goal-3-008,6,rotate,policy_turn,pixnav-9d3a62b308e26f8e12009e31-step-3,0.5235987755982988,0.5335864248224329,OK,1789303709.075582,1789303711.9440114,2.8684294020004018,1.0484857149986055,1.8116919300009613,0.008251757000834914,0.18602041397648392,1.0567374719994405,0,0.0,0,0,,0.4868257939815521,0,0.002274036407470703,0.05824446678161621
original5/full-goal-3-008,7,rotate,policy_turn,pixnav-24985096af10a96805359f29-preturn-0,-0.5235987755982988,-0.5012050597400373,OK,1789303712.1487164,1789303717.9382453,5.789528903998871,1.6021869880005397,4.153163737999421,0.03417817799891054,0.08657095733538028,1.1422053559999767,2,0.0,0,0,,0.49917843242654786,0,-0.0054705142974853516,0.01516270637512207
original5/full-goal-3-008,8,translate,look_forward_20cm,pixnav-80fe93f66fd0df8ba4249057-step-0,0.20000000298023224,0.2256507769025289,OK,1789303718.1602538,1789303719.340685,1.180431024000427,0.8986094730007608,0.2575801829989359,0.02424136800073029,0.19115964619246342,0.9228508410014911,0,0.05250998600058665,18,2,0.24058640352983443,,18,0.006101846694946289,0.028149127960205078
original5/full-goal-3-008,9,translate,look_forward_20cm,pixnav-ee5a1415d7985a67c4bfa50c-step-1,0.20000000298023224,0.21787957925379525,OK,1789303719.5995188,1789303720.9525135,1.352994666000086,0.9055339919996186,0.4146179679992201,0.03284270600124728,0.16103506150391683,0.9383766980008659,0,0.0373511600009806,18,18,0.22436115398991296,,18,-0.003015279769897461,0.011467456817626953
original5/full-goal-3-008,10,translate,look_forward_20cm,pixnav-09e453eb818ef73f739c81f6-step-2,0.20000000298023224,0.22071611110364348,OK,1789303721.1486251,1789303722.34431,1.1956848869995156,0.9003827719989204,0.25753036300011445,0.037771752000480774,0.18459387879152217,0.9381545239994011,0,0.04543497599843249,18,18,0.23467977222783032,,18,-0.004606962203979492,0.06328701972961426
original5/full-goal-3-008,11,translate,look_forward_20cm,pixnav-3ebf6c2200024446b555dc2f-step-3,0.20000000298023224,0.2213824639437949,OK,1789303722.6192153,1789303723.7922914,1.1730762600000162,0.9500549370004592,0.20888291700066475,0.014138405998892267,0.18871958413325307,0.9641933429993514,0,0.05064086399943335,19,19,0.21539214164700116,,19,-0.0017278194427490234,0.08429169654846191
original5/full-goal-3-008,12,translate,look_forward_20cm,pixnav-f56722cc419082d1f1d399fb-step-0,0.20000000298023224,0.2230624625935907,OK,1789303724.266629,1789303725.5904665,1.3238376080007583,0.9499927679989923,0.3566189920002216,0.017225848001544364,0.16849684677749607,0.9672186160005367,0,0.0487579469991033,19,19,0.2598196015238973,,19,-0.00941610336303711,0.018195390701293945
